draw,best_existing_prediction,optimized_candidate_prediction,candidate_minus_existing
347,2.0531288334814145e-05,2.1722260513343404e-05,1.190972178529259e-06
348,2.051554280346937e-05,1.973124132382905e-05,-7.84301479640319e-07
349,2.2438448091806066e-05,2.04922934944353e-05,-1.9461545973707646e-06
350,1.8901457166010757e-05,2.2149957751989256e-05,3.2485005859784986e-06
351,2.1751551124921398e-05,2.0127365805041574e-05,-1.6241853198798236e-06
352,1.994289078605588e-05,1.8233830895979397e-05,-1.7090598900764831e-06
353,2.0230731644240216e-05,2.115549094292716e-05,9.247592986869441e-07
354,2.618115043166285e-05,2.1503909643955874e-05,-4.677240787706976e-06
355,1.710816573208056e-05,1.969653179328917e-05,2.5883660612086108e-06
356,1.9132838956367606e-05,1.926072046146571e-05,1.2788150509810358e-07
357,1.7808228839535703e-05,1.9568434072696217e-05,1.760205233160514e-06
358,1.899194126020998e-05,2.1985807136942444e-05,2.993865876732463e-06
359,1.9266982930530515e-05,2.037368482455516e-05,1.1067018940246447e-06
360,2.353587943742078e-05,2.1076848124063838e-05,-2.4590313133569414e-06
361,1.643053996320655e-05,1.986072220619099e-05,3.430182242984439e-06
362,2.0470822908434068e-05,2.0704857604248274e-05,2.3403469581420616e-07
363,2.0210048265622643e-05,2.059771587648993e-05,3.876676108672861e-07
364,1.6788797912157668e-05,1.9716435060350937e-05,2.9276371481932694e-06
365,2.1360098807741745e-05,2.0822375385319825e-05,-5.377234224219202e-07
366,1.9410587635952555e-05,1.868946512783435e-05,-7.211225081182048e-07
367,2.3811116469074083e-05,2.1110956492723932e-05,-2.7001599763501512e-06
368,2.0779940855623308e-05,1.9999706731004782e-05,-7.802341246185258e-07
