battery_id,n0,fit_end,model,stable_slope,a,b,c,life,success,boundary,b_at_lower_bound,c_near_bound
12,31,150,linear,-2.821871873973129e-05,1.0005773712524106,-2.8076229664273964e-05,1.0,7144.028014118947,True,False,False,False
12,31,150,power,-2.821871873973129e-05,1.0012337509972884,9.963034320333681e-05,0.77295898419614,18887.596544359345,True,False,False,False
12,31,150,centered_quadratic,-2.821871873973129e-05,0.9997070076240518,2.80762037947989e-05,2.1739056125535093e-13,7143.642840284441,True,False,False,False
12,41,150,linear,-2.7747066035003143e-05,1.0005323784142675,-2.767668468919277e-05,1.0,7245.534668123439,True,False,False,False
12,41,150,power,-2.7747066035003143e-05,1.0013954146306099,0.00012356282559522898,0.7363031413790972,23043.761158439782,True,False,False,False
12,41,150,centered_quadratic,-2.7747066035003143e-05,0.9993976341688376,2.7676675068452517e-05,8.826364737390911e-14,7245.371642546344,True,False,False,False
12,51,150,linear,-2.7022782288256255e-05,1.0004637781332018,-2.7082849647993806e-05,1.0,7401.871691447037,True,False,False,False
12,51,150,power,-2.7022782288256255e-05,1.0010258060025226,7.576743541581608e-05,0.8189422629751721,15160.76555482881,True,False,False,False
12,51,150,centered_quadratic,-2.7022782288256255e-05,0.9990825172535651,2.7080673264997655e-05,2.1983666685115336e-11,7359.105041137918,True,False,False,False
13,11,150,linear,-2.3205655278172058e-05,1.0004065713512422,-2.1886750998104236e-05,1.0,9156.524482258732,True,False,False,False
13,11,150,power,-2.3205655278172058e-05,0.9999265993104892,1.1817055215577969e-06,1.5678142601361502,2161.768246365985,True,False,False,False
13,11,150,centered_quadratic,-2.3205655278172058e-05,0.9998952860377092,1.0124531321854366e-05,8.462028544065132e-08,1489.3056965158553,True,False,False,False
13,21,150,linear,-2.441354532299062e-05,1.0005895652046846,-2.3622718514132423e-05,1.0,8491.383626515326,True,False,False,False
13,21,150,power,-2.441354532299062e-05,1.0002040129091652,4.783404061397328e-06,1.302681769416901,3530.713123500332,True,False,False,False
13,21,150,centered_quadratic,-2.441354532299062e-05,0.9999720891635695,1.7932142624201637e-05,4.411299139488778e-08,1956.5534841655415,True,False,False,False
13,31,150,linear,-2.545972257701143e-05,1.0007321794409898,-2.493543335830762e-05,1.0,8050.077837292239,True,False,False,False
13,31,150,power,-2.545972257701143e-05,1.0008103345376589,3.07138869149021e-05,0.9619238104605488,9257.201393686564,True,False,False,False
13,31,150,centered_quadratic,-2.545972257701143e-05,0.9999590314799057,2.4927830291653777e-05,6.389131654206797e-11,7894.050447246592,True,False,False,False
13,41,150,linear,-2.5265157483487988e-05,1.0007132929145754,-2.4766925047421634e-05,1.0,8104.086095882569,True,False,False,False
13,41,150,power,-2.5265157483487988e-05,1.0006734938578183,2.2313843755193214e-05,1.0189135597356507,7594.884184844794,True,False,False,False
13,41,150,centered_quadratic,-2.5265157483487988e-05,0.9996794903423112,2.3747000307385822e-05,9.357107706790538e-09,3562.692851560639,True,False,False,False
13,51,150,linear,-2.5106285164619437e-05,1.0006939928108376,-2.45999081196394e-05,1.0,8158.322861808292,True,False,False,False
13,51,150,power,-2.5106285164619437e-05,1.0003989807533353,1.0908483289474754e-05,1.1472923943694915,5208.238266291047,True,False,False,False
13,51,150,centered_quadratic,-2.5106285164619437e-05,0.999398632346804,2.2104082613539592e-05,2.521035864789971e-08,2458.934811000819,True,False,False,False
14,11,150,linear,-1.8316161872310727e-05,1.0002907594098904,-1.6965121333631352e-05,1.0,11806.031649938017,True,False,False,False
14,11,150,power,-1.8316161872310727e-05,0.9997728305956343,8.200961427720622e-08,2.051712229207562,1296.7302143282577,True,False,False,False
14,11,150,centered_quadratic,-1.8316161872310727e-05,0.9997146099399661,2.4199015935489834e-09,1.2212804429063566e-07,1289.7741610173841,True,False,False,False
14,21,150,linear,-1.9403122235139847e-05,1.0005080657692862,-1.9026139611620046e-05,1.0,10538.557472101573,True,False,False,False
14,21,150,power,-1.9403122235139847e-05,0.9999530565193874,4.4155882577317534e-07,1.7262482855072605,1889.8812780603573,True,False,False,False
14,21,150,centered_quadratic,-1.9403122235139847e-05,0.999871987707374,7.938836639659523e-06,8.594808505400977e-08,1500.4732135781267,True,False,False,False
14,31,150,linear,-2.0372040637139352e-05,1.0006845936843787,-2.0652908267274215e-05,1.0,9717.013753572688,True,False,False,False
14,31,150,power,-2.0372040637139352e-05,1.0002402126722931,2.7524261248734316e-06,1.378541865447577,3363.5336343399317,True,False,False,False
14,31,150,centered_quadratic,-2.0372040637139352e-05,0.9999372380992924,1.5206361040073392e-05,4.576930443041002e-08,1961.5361073344918,True,False,False,False
