battery_id,n0,model,cycle,observed,predicted
1,21,centered_quadratic,174,0.9986270177227583,1.001905725483229
1,21,centered_quadratic,175,0.9980836122088909,1.0018568025433159
1,21,centered_quadratic,176,0.9978717048258827,1.0018075608871817
1,21,centered_quadratic,177,0.9980881334019138,1.0017580005148268
1,21,centered_quadratic,178,0.9987131474621992,1.0017081214262507
1,21,centered_quadratic,179,0.9998235511188321,1.0016579236214538
1,21,centered_quadratic,180,1.0011065231854825,1.001607407100436
1,21,centered_quadratic,181,1.0013771727680894,1.0015565718631971
1,21,centered_quadratic,182,1.0016764928582509,1.0015054179097373
1,21,centered_quadratic,183,1.0023240922011576,1.0014539452400566
1,21,centered_quadratic,184,1.0025496689705158,1.0014021538541549
1,21,centered_quadratic,185,1.0027810566496334,1.0013500437520324
1,21,centered_quadratic,186,1.0024387748845074,1.001297614933689
1,21,centered_quadratic,187,1.0019669105501887,1.0012448673991245
1,21,centered_quadratic,188,1.001749130863073,1.0011918011483392
1,21,centered_quadratic,189,1.0018799043084554,1.0011384161813328
1,21,centered_quadratic,190,1.001666978040517,1.0010847124981057
1,21,centered_quadratic,191,1.0018924152574733,1.0010306900986576
1,21,centered_quadratic,192,1.0013201509165075,1.0009763489829886
1,21,centered_quadratic,193,1.0003872481179652,1.0009216891510986
1,21,centered_quadratic,194,0.999941113240662,1.0008667106029876
1,21,centered_quadratic,195,0.9986368612832792,1.0008114133386556
1,21,centered_quadratic,196,0.9980639123735556,1.000755797358103
1,21,centered_quadratic,197,0.9975588394878703,1.000699862661329
1,21,centered_quadratic,198,0.9971216426262207,1.0006436092483344
1,21,centered_quadratic,199,0.9967523217886071,1.0005870371191188
1,21,centered_quadratic,200,0.9964508769750292,1.0005301462736822
1,31,linear,151,1.0035040341011485,1.0033484078052668
1,31,linear,152,1.003371233684344,1.0033261682218217
1,31,linear,153,1.003249998700051,1.003303928638377
1,31,linear,154,1.0031403291482688,1.0032816890549319
1,31,linear,155,1.0030422250289976,1.0032594494714868
1,31,linear,156,1.0029556863422409,1.0032372098880418
1,31,linear,157,1.0029072943153923,1.0032149703045967
1,31,linear,158,1.0029532296974646,1.0031927307211517
1,31,linear,159,1.002855579373866,1.0031704911377066
1,31,linear,160,1.002860543825376,1.0031482515542616
1,31,linear,161,1.0025763543941397,1.0031260119708165
1,31,linear,162,1.0014383798854618,1.0031037723873715
1,31,linear,163,1.0004746427551507,1.0030815328039264
1,31,linear,164,0.999940860696534,1.0030592932204814
1,31,linear,165,0.9996885162089997,1.0030370536370363
1,31,linear,166,0.9999216817116944,1.0030148140535915
1,31,linear,167,1.0005932631675036,1.0029925744701464
1,31,linear,168,1.0013679303061351,1.0029703348867014
1,31,linear,169,1.0020708838385373,1.0029480953032563
1,31,linear,170,1.0030309268578446,1.0029258557198113
1,31,linear,171,1.0023714359521643,1.0029036161363662
1,31,linear,172,1.0006014508223022,1.0028813765529212
1,31,linear,173,0.9996034070961728,1.0028591369694762
1,31,linear,174,0.9986270177227583,1.002836897386031
1,31,linear,175,0.9980836122088909,1.002814657802586
1,31,linear,176,0.9978717048258827,1.002792418219141
1,31,linear,177,0.9980881334019138,1.002770178635696
1,31,linear,178,0.9987131474621992,1.002747939052251
1,31,linear,179,0.9998235511188321,1.002725699468806
1,31,linear,180,1.0011065231854825,1.002703459885361
1,31,linear,181,1.0013771727680894,1.002681220301916
1,31,linear,182,1.0016764928582509,1.002658980718471
1,31,linear,183,1.0023240922011576,1.0026367411350259
1,31,linear,184,1.0025496689705158,1.0026145015515808
1,31,linear,185,1.0027810566496334,1.0025922619681358
1,31,linear,186,1.0024387748845074,1.0025700223846907
1,31,linear,187,1.0019669105501887,1.0025477828012457
